title,keyword,date,link,sentiment_score
Why Apple Stock Can Keep Delivering for Investors,AAPL,2022-12-01T13:01:00Z,https://www.fool.com/investing/2022/12/01/why-apple-stock-can-keep-delivering-for-investors/,0.6808
How Warren Buffett Made a Bet on Apple Without Buying More Apple Stock,AAPL,2022-11-18T12:11:00Z,https://www.fool.com/investing/2022/11/18/how-warren-buffett-bet-apple-without-apple-stock/,0.5574
"Apple Falls on China Fears, but This Nasdaq Stock Is Soaring Monday",AAPL,2022-11-28T15:32:00Z,https://www.fool.com/investing/2022/11/28/apple-falls-on-china-fears-but-this-nasdaq-stock-i/,0.7693
Why Apple Shares Dropped Friday,AAPL,2022-11-25T18:12:55Z,https://www.fool.com/investing/2022/11/25/why-apple-shares-dropped-friday/,0.0736
"Smart Investors Should Buy These 3 Stocks, Down Between 46% and 73%, Heading Into 2023",AAPL,2022-11-30T10:15:00Z,https://www.fool.com/investing/2022/11/30/down-between-46-and-73-smart-investors-should-buy/,0.8316
Should You Buy Netflix Hand Over Fist for 2023?,AAPL,2022-11-18T15:03:18Z,https://www.fool.com/investing/2022/11/18/should-you-buy-netflix-hand-over-fist-for-2023/,-0.296
Apple Stock Is Down 20% From Its High. Time to Buy?,AAPL,2022-11-30T12:00:00Z,https://www.fool.com/investing/2022/11/30/apple-stock-is-down-20-from-its-high-time-to-buy/,0.3818
Surprise! Warren Buffett Just Bought a Semiconductor Stock,AAPL,2022-11-15T05:15:00Z,https://www.fool.com/investing/2022/11/15/surprise-warren-buffett-just-bought-a-semiconducto/,0.0
The Safest and Riskiest FAANG Stocks to Buy Right Now,AAPL,2022-11-21T10:52:00Z,https://www.fool.com/investing/2022/11/21/the-safest-and-riskiest-faang-stocks-to-buy-right/,0.34
The 3 Most Popular Robinhood Stocks Right Now: Are They Buys?,AAPL,2022-12-05T10:55:00Z,https://www.fool.com/investing/2022/12/05/3-most-popular-robinhood-stocks-now-are-they-buys/,0.4939
2 Dividend-Paying Tech Stocks to Buy in December,AAPL,2022-12-06T10:35:00Z,https://www.fool.com/investing/2022/12/06/2-dividend-paying-tech-stocks-to-buy-in-december/,0.9201
73% of Warren Buffett's Portfolio Is in These 5 Stocks as 2022 Winds Down,AAPL,2022-12-03T10:55:00Z,https://www.fool.com/investing/2022/12/03/warren-buffett-portfolio-5-stocks-2022-winds-down/,-0.1531
2 Top Stocks to Buy In December,AAPL,2022-12-04T14:15:00Z,https://www.fool.com/investing/2022/12/04/2-top-stocks-to-buy-in-december/,-0.7184
These 3 Stocks Were Warren Buffett's Biggest Winners Over the Past 5 Years,AAPL,2022-11-13T10:52:00Z,https://www.fool.com/investing/2022/11/13/stocks-warren-buffetts-biggest-winners/,0.2732
My Top FAANG Stock For 2023 -- and It Isn't Even Close,AAPL,2022-11-20T10:54:00Z,https://www.fool.com/investing/2022/11/20/my-top-faang-stock-for-2023-and-it-isnt-even-close/,-0.1238
1 Warren Buffett Stock I'd Buy Before 2023 Without Any Hesitation,AAPL,2022-12-11T10:57:00Z,https://www.fool.com/investing/2022/12/11/1-warren-buffett-stock-id-buy-before-2023-without/,0.5849
3 Reasons to Buy Apple Stock in 2023 -- And Never Sell,AAPL,2022-11-16T20:00:00Z,https://www.fool.com/investing/2022/11/16/3-reasons-to-buy-apple-stock-in-2023-and-never-sel/,0.5256
Air Products Stock Could Be a Hidden Gem Among All the Chip Manufacturing Hype,AAPL,2022-12-06T10:40:00Z,https://www.fool.com/investing/2022/12/06/air-products-stock-could-be-a-hidden-gem-amongst-a/,0.2023
"1 Green Flag for Apple Stock in 2022, and 1 Red Flag",AAPL,2022-12-11T13:15:00Z,https://www.fool.com/investing/2022/12/11/green-flag-for-apple-stock-and-red-flag/,0.9216
3 Must-Own Stocks for 2023 (and Beyond),AAPL,2022-11-18T12:00:00Z,https://www.fool.com/investing/2022/11/18/3-must-own-stocks-for-2023-and-beyond/,0.0258
3 Stocks You Can Confidently Buy After a Market Downturn,AAPL,2022-11-18T14:00:00Z,https://www.fool.com/investing/2022/11/18/3-stocks-you-can-confidently-buy-after-a-downturn/,-0.5962
These 2 Stocks Were on Big Shoppers' Lists on Black Friday,AAPL,2022-11-25T14:18:41Z,https://www.fool.com/investing/2022/11/25/these-2-stocks-big-shoppers-lists-on-black-friday/,0.4215
Apple Is Down 22% From Its High. Time to Buy?,AAPL,2022-12-12T13:53:00Z,https://www.fool.com/investing/2022/12/12/apple-is-down-22-from-its-high-time-to-buy/,0.6486
Top Warren Buffett Stocks to Buy With $300 Right Now,AAPL,2022-12-06T10:20:00Z,https://www.fool.com/investing/2022/12/06/top-warren-buffett-stocks-buy-with-300-right-now/,0.6901
Publicly Traded Companies: Definition and Examples,AAPL,2022-12-12T20:11:10Z,https://www.fool.com/investing/stock-market/basics/publicly-traded-companies/,0.5267
"If You Invested $10,000 in Microsoft Stock When Satya Nadella Became CEO, This Is How Much You'd Have Today",AAPL,2022-12-02T11:45:00Z,https://www.fool.com/investing/2022/12/02/if-you-invested-10000-in-microsoft-stock-you-have/,-0.296
2 Warren Buffett Stocks to Buy Before 2022 Ends and 1 to Avoid,AAPL,2022-12-08T14:00:00Z,https://www.fool.com/investing/2022/12/08/2-warren-buffett-stocks-to-buy-and-1-to-avoid/,0.624
Want to Get Richer? 3 Best Stocks to Buy Now and Hold Forever,AAPL,2022-12-02T22:00:00Z,https://www.fool.com/investing/2022/12/02/want-to-get-richer-3-best-stocks-to-buy-now-and-ho/,0.5859
Is It Time to Buy the Dow Jones' 2 Worst-Performing November Stocks?,AAPL,2022-12-04T14:09:00Z,https://www.fool.com/investing/2022/12/04/is-it-time-to-buy-the-dow-jones-2-worst-performing/,0.4588
3 Robinhood Stocks to Buy and Hold Forever,AAPL,2022-11-20T12:26:00Z,https://www.fool.com/investing/2022/11/20/3-robinhood-stocks-to-buy-and-hold-forever/,-0.0772
2 Unstoppable Stocks Set to Crush the Market (Again) in 2023,AAPL,2022-11-17T10:15:00Z,https://www.fool.com/investing/2022/11/17/2-unstoppable-stocks-set-to-crush-the-market-2023/,0.4588
2 Warren Buffett Stocks That Everyone Should Own,AAPL,2022-11-25T10:25:00Z,https://www.fool.com/investing/2022/11/25/2-warren-buffett-stocks-that-everyone-should-own/,0.4215
"Since 2016, Warren Buffett Has Bought $9 Billion More of This Stock Than Apple and Chevron, Combined!",AAPL,2022-11-28T10:06:00Z,https://www.fool.com/investing/2022/11/28/warren-buffett-buy-more-this-stock-apple-chevron/,0.4927
"Why Apple, Salesforce, and Qualcomm Stocks Are Volatile Today",AAPL,2022-12-06T20:34:48Z,https://www.fool.com/investing/2022/12/06/why-apple-salesforce-and-qualcomm-stocks-are-volat/,-0.5574
3 Stocks to Avoid This Week,AAPL,2022-11-28T13:07:00Z,https://www.fool.com/investing/2022/11/28/3-stocks-to-avoid-this-week/,0.0772
Better Buy: Apple vs. Disney,AAPL,2022-11-28T13:45:00Z,https://www.fool.com/investing/2022/11/28/better-buy-apple-vs-disney/,0.4215
3 Top Tech Stocks to Buy in December,AAPL,2022-12-02T10:00:00Z,https://www.fool.com/investing/2022/12/02/3-top-tech-stocks-to-buy-in-december/,-0.4767
3 Stocks to Avoid This Week,AAPL,2022-11-21T12:30:00Z,https://www.fool.com/investing/2022/11/21/3-stocks-to-avoid-this-week/,-0.1531
Warren Buffett Loves These Stocks. Are They Right for You?,AAPL,2022-12-02T10:08:00Z,https://www.fool.com/investing/2022/12/02/warren-buffett-loves-these-stocks-are-they-right-f/,-0.25
3 Top Stocks to Buy for the Long Haul,AAPL,2022-11-16T15:30:00Z,https://www.fool.com/investing/2022/11/16/3-top-stocks-to-buy-for-the-long-haul/,-0.296
2 Monster Stocks to Buy for 2023 That Are Practically Minting Money,AAPL,2022-11-15T12:00:00Z,https://www.fool.com/investing/2022/11/15/2-monster-stocks-to-buy-for-2023-that-are-practica/,0.8625
Here Are All 19 Stocks Warren Buffett Has Bought Since 2022 Began,AAPL,2022-11-23T10:06:00Z,https://www.fool.com/investing/2022/11/23/19-stocks-warren-buffett-bought-since-2022-began/,0.296
89% of Warren Buffett's Portfolio Is Invested in These 12 Stocks,AAPL,2022-11-21T10:06:00Z,https://www.fool.com/investing/2022/11/21/89-warren-buffett-portfolio-invested-in-12-stocks/,0.7579
4 Stocks Warren Buffett Is Almost Certain to Buy in 2023,AAPL,2022-12-12T10:06:00Z,https://www.fool.com/investing/2022/12/12/4-stocks-warren-buffett-is-certain-to-buy-in-2023/,-0.1027
3 Top Tech Stocks to Buy Right Now,AAPL,2022-12-02T10:49:00Z,https://www.fool.com/investing/2022/12/02/3-top-tech-stocks-to-buy-right-now/,-0.2732
3 Warren Buffett Stocks That Could Set You Up for Life,AAPL,2022-11-22T10:50:00Z,https://www.fool.com/investing/2022/11/22/warren-buffett-growth-stocks-that-could-set-you-up/,0.765
59% of Warren Buffett's Portfolio Is Invested in Just 3 Stocks,AAPL,2022-12-09T10:06:00Z,https://www.fool.com/investing/2022/12/09/59-warren-buffett-portfolio-invested-in-3-stocks/,-0.1027
1 Green Flag and 1 Red Flag for TSMC's Future,AAPL,2022-12-04T13:04:00Z,https://www.fool.com/investing/2022/12/04/1-green-flag-and-1-red-flag-for-tsmcs-future/,-0.3612
Apple's Extreme Dependence on China Can No Longer Be Ignored,AAPL,2022-11-28T14:33:26Z,https://www.fool.com/investing/2022/11/28/apples-extreme-dependence-on-china-can-no-longer-b/,0.0772
Should Samsung Buy This Longtime Technology Partner?,AAPL,2022-12-08T15:18:52Z,https://www.fool.com/investing/2022/12/08/should-samsung-buy-this-longtime-tech-partner/,0.2023
93% of Warren Buffett's Portfolio Is in These 4 Sectors,AAPL,2022-11-25T10:06:00Z,https://www.fool.com/investing/2022/11/25/93-warren-buffett-portfolio-is-in-these-4-sectors/,0.6249
3 Stocks Billionaires Have Bought Ahead of 2023,AAPL,2022-12-04T12:45:00Z,https://www.fool.com/investing/2022/12/04/3-stocks-billionaires-have-bought-ahead-of-2023/,-0.1793
3 No-Brainer Stocks to Buy Amid the Tech Sell-Off,AAPL,2022-12-09T16:30:00Z,https://www.fool.com/investing/2022/12/09/3-no-brainer-stocks-to-buy-amid-the-tech-sell-off/,0.7425
"Got $2,000? Two Tech Stocks to Buy and Hold for the Long Term",AAPL,2022-12-01T11:10:00Z,https://www.fool.com/investing/2022/12/01/got-2000-two-tech-stocks-to-buy-and-hold-for-the-l/,0.765
3 Stocks That Could Triple in 3 Years,AAPL,2022-11-27T12:00:00Z,https://www.fool.com/investing/2022/11/27/3-stocks-that-could-triple-in-3-years/,0.0516
"Why Netflix, Apple, Amazon, and Other FAANG-M Stocks Rocketed Higher Today",AAPL,2022-11-30T21:32:11Z,https://www.fool.com/investing/2022/11/30/why-netflix-apple-amazon-and-other-faang-stocks-so/,-0.7351
Taiwan Semiconductor's Arizona Fab Could Mean Big Wins for 2 Other Chip Stocks,AAPL,2022-12-09T12:05:00Z,https://www.fool.com/investing/2022/12/09/taiwan-semiconductors-arizona-fab-could-mean-big-w/,-0.8002
Is Apple A Value Or Growth Stock?,AAPL,2022-12-07T23:49:14Z,https://www.forbes.com/sites/johnbuckingham/2022/12/07/is-apple-a-value-or-growth-stock/,0.7717
Three Doji Buys For December,AAPL,2022-11-30T16:24:11Z,https://www.forbes.com/sites/tomaspray/2022/11/30/three-doji-buys-for-december/,0.0
Warren Buffett And David Rolfe Agree On These 6 Stocks,AAPL,2022-12-02T21:15:14Z,https://www.forbes.com/sites/gurufocus/2022/12/02/warren-buffett-and-david-rolfe-agree-on-these-6-stocks/,0.0
Can Bilibili be the Chinese Version of YouTube?,GOOGL,2022-12-12T13:00:00Z,https://www.marketbeat.com/originals/can-bilibili-be-the-chinese-version-of-youtube/,0.0
3 Stocks to Buy Now That Could Help Renovate Your Portfolio In 2023,GOOGL,2022-12-02T14:02:11Z,https://stocknews.com/news/low-adt-hni-3-stocks-to-buy-now-that-could-help-renovate-your/,0.7264
The 'exceptionalism of technology' is probably over for the stock market: Goldman,GOOGL,2022-11-29T10:51:45Z,https://finance.yahoo.com/news/goldman-sachs-big-tech-stock-market-outlook-105145257.html,0.2732
Amazon Web Services plans to be water positive by 2030,GOOGL,2022-11-28T05:00:08Z,https://finance.yahoo.com/news/amazon-web-services-plans-to-be-water-positive-by-2030-050008501.html,0.7717
This Trillion-Dollar Growth Stock Is a Once-in-a-Decade Buying Opportunity in a Nasdaq Bear Market,GOOGL,2022-11-16T17:00:00Z,https://www.fool.com/investing/2022/11/16/this-trillion-dollar-growth-stock-is-a-once-in-a-d/,0.7579
Why Alphabet Stock Jumped Today,GOOGL,2022-11-15T18:22:50Z,https://www.fool.com/investing/2022/11/15/why-alphabet-stock-jumped-today/,-0.5859
Is This the Biggest Threat to Google?,GOOGL,2022-12-09T15:30:00Z,https://www.fool.com/investing/2022/12/09/is-this-the-biggest-threat-to-google/,0.2023
4 Growth Stocks to Watch Right Now,GOOGL,2022-11-14T14:01:00Z,https://www.fool.com/investing/2022/11/14/4-growth-stocks-to-watch-right-now/,0.0
4 Growth Stocks That Have My Attention During This Downturn,GOOGL,2022-12-13T11:06:00Z,https://www.fool.com/investing/2022/12/13/4-growth-stocks-that-have-my-attention-during-this/,0.0
10 Reasons to Buy Alphabet Stock Now,GOOGL,2022-11-22T13:03:00Z,https://www.fool.com/investing/2022/11/22/10-reasons-to-buy-alphabet-stock-now/,0.7046
2 Cheap Tech Stocks to Buy Right Now,GOOGL,2022-12-09T16:47:00Z,https://www.fool.com/investing/2022/12/09/2-cheap-tech-stocks-to-buy-right-now/,-0.7097
Stock Market Rally: 3 Once-in-a-Decade Buying Opportunities,GOOGL,2022-11-14T10:52:00Z,https://www.fool.com/investing/2022/11/14/stock-market-rally-3-once-in-a-decade-buying-oppor/,0.3612
Is Magnite Stock a Buy Now?,GOOGL,2022-11-13T14:41:00Z,https://www.fool.com/investing/2022/11/13/is-magnite-stock-a-buy-now/,0.0
The Best FAANG Stock to Buy in December,GOOGL,2022-12-01T10:55:00Z,https://www.fool.com/investing/2022/12/01/the-best-faang-stock-to-buy-in-december/,0.7984
Is It Too Late to Buy These 2 Stock-Split Stocks?,GOOGL,2022-12-05T11:00:00Z,https://www.fool.com/investing/2022/12/05/is-it-too-late-to-buy-these-2-stock-split-stocks/,-0.128
Alphabet's Stock Has Reached a Once-in-a-Decade Buying Opportunity,GOOGL,2022-11-15T14:15:00Z,https://www.fool.com/investing/2022/11/15/alphabets-stock-has-reached-a-once-in-a-decade-opp/,0.7579
"Zoom Stock: Buy, Sell, or Hold in 2023?",GOOGL,2022-11-15T11:59:00Z,https://www.fool.com/investing/2022/11/15/zoom-stock-buy-sell-or-hold-in-2023/,0.6908
3 Stocks You'll Be Glad You Bought at These Prices,GOOGL,2022-11-12T10:53:00Z,https://www.fool.com/investing/2022/11/12/3-stocks-youll-be-glad-you-bought-at-these-prices/,0.6249
"Down 33% Year to Date, Is Alphabet Stock a Buy Now?",GOOGL,2022-11-23T10:58:00Z,https://www.fool.com/investing/2022/11/23/is-alphabet-stock-a-buy-now/,0.3612
1 No-Brainer Stock to Buy Right Now for Less Than $100,GOOGL,2022-11-27T10:20:00Z,https://www.fool.com/investing/2022/11/27/1-no-brainer-stock-to-buy-right-now-for-less-than/,-0.1531
Is Alphabet the Top Tech Stock to Buy In 2023?,GOOGL,2022-11-25T12:00:00Z,https://www.fool.com/investing/2022/11/25/is-alphabet-the-top-tech-stock-to-buy-in-2023/,-0.5096
Is The Trade Desk Stock a Buy Now?,GOOGL,2022-11-18T10:35:00Z,https://www.fool.com/investing/2022/11/18/is-the-trade-desk-stock-a-buy-now/,0.5106
Why Alphabet Stock Is a Buy Despite YouTube's Revenue Drop,GOOGL,2022-12-02T11:30:00Z,https://www.fool.com/investing/2022/12/02/why-alphabet-stock-is-a-buy-despite-youtubes-reven/,-0.5994
What the Smartest Investors Know About Netflix's Stock,GOOGL,2022-12-13T11:05:00Z,https://www.fool.com/investing/2022/12/13/what-the-smartest-investors-know-about-netflixs-st/,0.0
"Down 36% From Its High, Is Alphabet Stock a Screaming Buy Right Now?",GOOGL,2022-12-09T11:07:00Z,https://www.fool.com/investing/2022/12/09/down-from-high-is-alphabet-stock-a-screaming-buy/,-0.0
The Safest and Riskiest FAANG Stocks to Buy Right Now,GOOGL,2022-11-21T10:52:00Z,https://www.fool.com/investing/2022/11/21/the-safest-and-riskiest-faang-stocks-to-buy-right/,0.34
2 Stock-Split Stocks That Can Double Your Money by 2026,GOOGL,2022-11-16T10:06:00Z,https://www.fool.com/investing/2022/11/16/2-stock-split-stocks-can-double-your-money-by-2026/,-0.5859
1 Impressive Metric Shows How Well DigitalOcean Is Doing -- Is the Stock a Buy?,GOOGL,2022-11-15T10:25:00Z,https://www.fool.com/investing/2022/11/15/impressive-metric-how-well-digitalocean-stock-buy/,-0.5106
1 Remarkable Tech Stock Growing Sales Faster Than Google and Meta Platforms,GOOGL,2022-11-15T10:40:00Z,https://www.fool.com/investing/2022/11/15/1-stock-growing-faster-than-google-meta-platforms/,-0.7269
My Top FAANG Stock For 2023 -- and It Isn't Even Close,GOOGL,2022-11-20T10:54:00Z,https://www.fool.com/investing/2022/11/20/my-top-faang-stock-for-2023-and-it-isnt-even-close/,-0.1238
2 Catalysts That Could Turn Alphabet's Stock Around Before 2022 Is Up,GOOGL,2022-12-07T10:45:00Z,https://www.fool.com/investing/2022/12/07/2-catalysts-that-could-turn-alphabets-stock-around/,0.2263
An Activist Investor Is Going After Alphabet. Does That Make the Stock a Buy?,GOOGL,2022-11-21T16:00:00Z,https://www.fool.com/investing/2022/11/21/an-activist-investor-is-going-after-alphabet-does/,0.4939
Over Half of Millennials Own Stocks. Here Are 3 Stock Ideas to Start Your Own Portfolio.,GOOGL,2022-11-15T15:30:00Z,https://www.fool.com/investing/2022/11/15/over-half-of-millennials-own-stocks-here-are-3/,-0.3622
Better FAANG Stock to Buy Before 2022 Ends: Alphabet vs. Amazon,GOOGL,2022-12-08T10:20:00Z,https://www.fool.com/investing/2022/12/08/better-faang-stock-to-buy-before-2022-ends-alphabe/,0.3818
3 Top Stocks to Buy in December and Hold Forever,GOOGL,2022-12-06T10:52:00Z,https://www.fool.com/investing/2022/12/06/3-top-stocks-to-buy-in-december-and-hold-forever/,0.1531
"Why Netflix, Alphabet, and UPS Stocks Slipped on Thursday",GOOGL,2022-11-17T17:17:58Z,https://www.fool.com/investing/2022/11/17/why-netflix-alphabet-and-ups-stocks-slipped-on-thu/,0.6124
Publicly Traded Companies: Definition and Examples,GOOGL,2022-12-12T20:11:10Z,https://www.fool.com/investing/stock-market/basics/publicly-traded-companies/,0.5267
12 Top Stocks to Buy in December,GOOGL,2022-12-03T10:57:00Z,https://www.fool.com/investing/2022/12/03/12-top-stocks-to-buy-in-december/,0.296
2 Robinhood Stocks With Market-Beating Potential,GOOGL,2022-11-30T11:23:00Z,https://www.fool.com/investing/2022/11/30/2-robinhood-stocks-with-market-beating-potential/,-0.4497
"Got $5,000? Buy and Hold These 3 Value Stocks for Years",GOOGL,2022-11-22T10:35:00Z,https://www.fool.com/investing/2022/11/22/got-5000-buy-hold-these-3-value-stocks-years/,0.8268
"1 Green Flag for DocuSign in 2023, and 1 Red Flag",GOOGL,2022-11-15T16:28:27Z,https://www.fool.com/investing/2022/11/15/1-green-flag-for-docusign-in-2023-and-1-red-flag/,-0.1531
2 Stocks Under $100 You Can Buy and Hold Forever,GOOGL,2022-11-26T13:53:00Z,https://www.fool.com/investing/2022/11/26/2-stocks-under-100-you-can-buy-and-hold-forever/,-0.128
3 Best Metaverse Stocks to Buy in 2022 and Beyond,GOOGL,2022-12-07T11:11:00Z,https://www.fool.com/investing/2022/12/07/3-best-metaverse-stocks-to-buy-in-2022-and-beyond/,-0.9042
"The Best Stocks to Invest $50,000 in Right Now",GOOGL,2022-12-11T13:54:00Z,https://www.fool.com/investing/2022/12/11/the-best-stocks-to-invest-50000-in-right-now/,0.2263
3 Top Growth Stocks to Buy Sooner Rather Than Later,GOOGL,2022-11-18T10:56:00Z,https://www.fool.com/investing/2022/11/18/top-growth-stocks-to-buy-sooner-rather-than-later/,0.9062
2 Bargain Stocks That You Can Buy Today and Hold Forever,GOOGL,2022-12-01T10:55:00Z,https://www.fool.com/investing/2022/12/01/2-bargain-stocks-buy-today-hold-forever/,0.3853
